image_url,dish_name,food_type,ingredients,portion_size,nutritional_profile,cooking_method
https://www.maggi.co.th/sites/default/files/styles/home_stage_1500_700/public/srh_recipes/6a587d28d85fae6340c06f5f8f60e5a0.jpg?h=4f5b30f1&itok=7eVUSrTW,ข้าวกะเพราไก่,Rice dish,"[""ไก่สับ"",""ใบกระเพรา"",""พริกแดงจินดา"",""กระเทียม"",""ซีอิ๊วดำ"",""ซอสหอยนางรม"",""น้ำปลา"",""น้ำตาลทราย"",""คนอร์"",""น้ำมันพืช"",""ข้าวสวย""]","[""ไก่สับ:70g"",""ใบกระเพรา:15g"",""พริกแดงจินดา:10g"",""กระเทียม:15g"",""ซีอิ๊วดำ:2.5g"",""ซอสหอยนางรม:9g"",""น้ำปลา:7.5g"",""น้ำตาลทราย:4g"",""คนอร์:3g"",""น้ำมันพืช:14g"",""ข้าวสวย:150g""]
","{""calories_kcal"": 349.5,""carbohydrate_g"": 49.7,""protein_g"": 19.9,""fat_g"": 7.9}",stir-fried
https://img.wongnai.com/p/1920x0/2017/12/29/c0cf6397819d4b2ba4168902f0175bfa.jpg,ข้าวกะเพราหมู,Rice dish,"[""หมูเนื้อแดง"",""หอมหัวใหญ่"",""ใบกระเพรา"",""กระเทียม"",""พริก"",""น้ำมันหอย"",""ซีอิ๊วขาว"",""ซีอิ๊วหวาน"",""น้ำตาล"",""ผงซุปก้อนหมู"",""น้ำมันพืช"",""ข้าวสวย""]","[""หมูเนื้อแดง:100g"",""หอมหัวใหญ่:40g"",""ใบกระเพรา:5g"",""กระเทียม:35g"",""พริก:8g"",""น้ำมันหอย:36g"",""ซีอิ๊วขาว:30g"",""ซีอิ๊วหวาน:9g"",""น้ำตาล:6g"",""ผงซุปก้อนหมู:10g"",""น้ำมันพืช:42g"",""ข้าวสวย:150g""]","{""calories_kcal"": 335.6,""carbohydrate_g"": 49.1,""protein_g"": 24.9,""fat_g"": 4.4}
",stir-fried
https://img.wongnai.com/p/1968x0/2021/01/17/c95146b336274b0283b92b6943d289d8.jpg,ข้าวกะเพราหมูกรอบ,Rice dish,"[""หมูกรอบ"",""ใบกระเพรา"",""กระเทียม"",""น้ำตาลทราย"",""น้ำมันหอย"",""น้ำมันพืช"",""พริกขี้หนู"",""น้ำซุป"",""ถั่วฝักยาว"",""น้ำปลา""]","[""หมูกรอบ:100g"",""ใบกระเพรา:50g"",""กระเทียม:5g"",""น้ำตาลทราย:12g"",""น้ำมันหอย:10g"",""น้ำมันพืช:9g"",""พริกขี้หนู:5g"",""น้ำซุป:15g"",""ถั่วฝักยาว:15g"",""น้ำปลา:10g""]","{""calories_kcal"": 412.5,""carbohydrate_g"": 3.0,""protein_g"": 32.4,""fat_g"": 30.1}
",stir-fried
https://img.wongnai.com/p/1968x0/2018/05/05/6e39c04e54be44ac8a7c372fcb8b4885.jpg,ข้าวกะเพราทะเล,Rice dish,"[""หมึกกล้วย"",""กุ้ง"",""ใบกระเพรา"",""พริกชี้ฟ้าแดง"",""กระเทียม"",""พริกขี้หนูสวน"",""ซีอิ๊วขาว"",""น้ำมันหอย"",""น้ำตาล"",""น้ำปลา"",""คนอร์"",""น้ำมันพืช""]","[""หมึกหั่นแว่น:200g"",""กุ้งปอกเปลือก:200g"",""ใบกระเพรา:8g"",""พริกชี้ฟ้าแดง:10g"",""กระเทียม:16g"",""พริกขี้หนูสวน:4g"",""ซีอิ๊วขาว:12g"",""น้ำมันหอย:14g"",""น้ำตาล:5g"",""น้ำปลา:6g"",""คนอร์:1g"",""น้ำมันพืช:11g""]","{""calories_kcal"": 323,""carbohydrate_g"": 2.4,""protein_g"": 70.7,""fat_g"": 3.4}",stir-fried
https://s359.thaicdn.net//pagebuilder/679dd57d-4fc5-4eba-892c-cea26e5096f7.jpg,ข้าวกะเพราเนื้อ,Rice dish,"[""เนื้อวัวสับ"",""พริกแดงจินดา"",""กระเทียม"",""น้ำปลา"",""ซีอิ๊วขาว"",""น้ำตาลทราย"",""ใบกะเพรา"",""น้ำมันรำข้าว""]","[""เนื้อวัวสับ:70g"",""พริกแดงจินดา:5g"",""กระเทียม:10g"",""น้ำปลา:15g"",""ซีอิ๊วขาว:7.5g"",""น้ำตาลทราย:4g"",""ใบกะเพรา:20g"",""น้ำมันรำข้าว:28g""]","{""calories_kcal"": 101.9,""carbohydrate_g"": 5.3,""protein_g"": 15.9,""fat_g"": 1.9}
",stir-fried
https://img.wongnai.com/p/1968x0/2017/12/03/8580ca58698344abafa8415ebe171588.jpg,ข้าวผัดหมู,Rice dish,"[""ข้าวสวย"",""น้ำมันพืช"",""กระเทียม"",""เนื้อหมู"",""ไข่ไก่"",""ซีอิ๊วขาว"",""ซีอิ๊วดำ"",""น้ำตาล"",""มะเขือเทศ"",""หอมหัวใหญ่""]","[""ข้าวสวย:90g"",""น้ำมันพืช:11.2g"",""กระเทียม:8g"",""เนื้อหมู:100g"",""ไข่ไก่:30g"",""ซีอิ๊วขาว:12g"",""ซีอิ๊วดำ:1g"",""น้ำตาล:2.4g"",""มะเขือเทศ:24g"",""หอมหัวใหญ่:20g""]","{""calories_kcal"": 325.4,""carbohydrate_g"": 33.9,""protein_g"": 28.1,""fat_g"": 8.6}",stir-fried
https://img.wongnai.com/p/1920x0/2018/05/11/643221e4c25b4d6880077d476185bbd4.jpg,ข้าวผัดไก่,Rice dish,"[""ไก่"",""ข้าวแช่เย็น"",""หอมหัวใหญ่"",""ต้นหอม"",""ผักชี"",""พริกขี้หนู"",""มะนาว"",""น้ำตาลทราย"",""น้ำมันพืช"",""กระเทียม"",""ซอสน้ำมันหอย"",""ไข่ไก่""]","[""ไก่:133g"",""ข้าวแช่เย็น:100g"",""หอมหัวใหญ่:67g"",""ต้นหอม:20g"",""ผักชี:2.7g"",""พริกขี้หนู:2.7g"",""มะนาว:27g"",""น้ำตาลทราย:4g"",""น้ำมันพืช:9.3g"",""กระเทียม:8g"",""ซอสน้ำมันหอย:20g"",""ไข่ไก่:67g""]","{""calories_kcal"": 487.7,""carbohydrate_g"": 37.4,""protein_g"": 39.3,""fat_g"": 20.1}
",stir-fried
https://img.wongnai.com/p/1920x0/2018/02/14/37bc85acae8640ae89e5e7e323bb2743.jpg,ข้าวผัดกุ้ง,Rice dish,"[""ข้าวสวย"",""กุ้ง"",""กระเทียม"",""แครอท"",""น้ำมันพืช"",""ไข่ไก่"",""น้ำมันหอย"",""ซีอิ๊วขาว"",""ต้นหอม""]","[""ข้าวสวย:150g"",""กุ้ง:66.7g"",""กระเทียม:8g"",""แครอท:10.7g"",""น้ำมันพืช:4.6g"",""ไข่ไก่:33.3g"",""น้ำมันหอย:5g"",""ซีอิ๊วขาว:5g"",""ต้นหอม:3.3g""]","{""calories_kcal"": 331.7,""carbohydrate_g"": 49.3,""protein_g"": 22.6,""fat_g"": 4.9}",stir-fried
https://img.wongnai.com/p/1920x0/2017/06/15/e127e044133643ab84e7fc7600c53739.jpg,ข้าวผัดปู,Rice dish,"[""ข้าวสวย"",""ปู"",""แครอท"",""ไข่ไก่"",""ต้นหอม"",""เกลือ"",""ซีอิ๊ว"",""พริกไทยขาว"",""น้ำมันพืช"",""กระเทียม""]","[""ข้าวสวย:150g"",""ปู:75g"",""แครอท:30g"",""ไข่ไก่:25g"",""ต้นหอม:5g"",""เกลือ:2.5g"",""ซีอิ๊ว:5g"",""พริกไทยขาว:0.5g"",""น้ำมันพืช:4.5g"",""กระเทียม:5g""]","{""calories_kcal"": 323.6,""carbohydrate_g"": 50.6,""protein_g"": 20.4,""fat_g"": 4.4}",stir-fried
https://img.thaicdn.net/u/2022/wanwanat/1507615637.jpg,ข้าวผัดทะเล,Rice dish,"[""น้ำมันพืช"",""หอมใหญ่"",""ไข่"",""กุ้ง"",""หมึกกล้วย"",""ข้าวสวย"",""เกลือ"",""พริกไทย"",""น้ำส้มสายชู"",""น้ำตาลทราย"",""ต้นหอม""]","[""น้ำมันพืช:10g"",""หอมใหญ่:8g"",""ไข่:50g"",""กุ้ง:20g"",""หมึกกล้วย:80g"",""ข้าวสวย:150g"",""เกลือ:1.25g"",""พริกไทย:1.25g"",""น้ำส้มสายชู:15g"",""น้ำตาลทราย:6g"",""ต้นหอม:10g""]","{""calories_kcal"": 356.8,""carbohydrate_g"": 48.7,""protein_g"": 27.0,""fat_g"": 6.0}",stir-fried
